Métrica,Entrenamiento,Test,Validación Cruzada,Diferencia (%)
Accuracy,0.8355398491481618,0.8327297021695559,0.8306081852216616,-0.34
Precision,0.7191047471620227,0.7100207684319834,0.7095938353154874,-1.26
Recall,0.43718139753744806,0.42901960784313725,0.4139678263777576,-1.87
F1-score,0.5437740818416817,0.534858707343307,0.5225410486591698,-1.64
