Kernel,CV Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1
linear,0.8270390440994986,0.8257322690671262,0.7390403866068347,0.3376439047468853,0.4635202424767266
poly,0.8267137794208781,0.8262948767537537,0.7837181044957473,0.3051569153130421,0.4392735527809308
rbf,0.8297993801021185,0.8290024262456486,0.7407166123778501,0.35861851442990067,0.48326426522154925
sigmoid,0.7020676072202598,0.700833362635817,0.33364041148472284,0.34269042737738525,0.33810487007935275
