Métrica,Entrenamiento,Test,Validación Cruzada,Dif Test-Entr (%),Dif CV-Entr (%)
Accuracy,0.7969302178384936,0.8000632933647456,0.796939023281672,0.39,0.0
Precision,0.5601884333968127,0.5700060963218858,0.5601971555225959,1.75,0.0
Recall,0.4383185632499412,0.44,0.4383187149001925,0.38,0.0
F1-score,0.49181626187961985,0.49663597733711046,0.4918085436861266,0.98,-0.0
ROC AUC,0.7801227790689421,0.783595796186495,0.7800873501853685,0.45,-0.0
